Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,199951.00,20400.00,26.00,996.00,Bishkek,9607.54,151.59,0.00,KGS,NA,1941.22,3.10,0.03,69.30,0.56,7564738836.04,1.06,0.46,0.07,0.07,18.80,Bishkek,"Sooronbay Jeenbekov (President), Mukhammedkalyi Abylgaziev (Prime Minister)",70.95,NA,76.00,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6304030.00,6415850.00,0.02
Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,491210.00,41500.00,25.37,993.00,Ashgabat,68422.55,NA,NA,TMT,NA,2678.81,2.89,0.09,NA,0.29,42355428571.43,0.88,0.08,0.02,0.02,43.40,Ashgabat,"Gurbanguly Berdimuhamedow (President), Ra?it Meredow (Vice President)",67.84,NA,42.00,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5850901.00,5942089.00,0.02
Singapore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,719.10,147600.00,9.40,65.00,Singapore,56372.79,113.27,-0.01,SGD,NA,8844.69,1.20,0.23,97.52,1.25,323907234412.34,1.01,0.06,0.05,0.05,2.20,NA,"Lee Hsien Loong (Prime Minister), Ong Ye Kung (Minister)",82.80,787255330000.00,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5757499.00,5804337.00,0.01
Denmark,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,0.62,43094.00,16100.00,10.80,45.00,Copenhagen,33498.05,108.63,0.00,DKK,NA,5858.80,1.71,0.15,65.73,1.55,324871968807.47,1.02,0.81,0.11,0.11,3.70,Copenhagen,"Margrethe II of Denmark (Monarch), Kristian Jensen (Deputy prime minister), Karsten Lauritzen (Minister), Mette Frederiksen (Prime Minister)",80.70,151349870000.00,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5752126.00,5771876.00,0.00
Finland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,338145.00,24200.00,9.60,358.00,Helsinki,47300.63,110.00,0.00,EUR,NA,15249.99,1.65,0.73,39.69,1.45,251884887972.77,1.00,0.87,0.09,0.09,1.90,Helsinki,"Sauli Niinistö (President), Sanna Marin (Prime Minister)",81.78,183765380000.00,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5522576.00,5532156.00,0.00
Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40,49035.00,15850.00,10.60,421.00,Bratislava,30678.12,109.59,-0.01,EUR,NA,5137.07,1.40,0.40,64.64,1.32,95769031980.14,0.99,0.53,0.08,0.08,4.90,Bratislava,"Zuzana ?aputová (President), Peter Pellegrini (Prime Minister)",76.56,4801320000.00,6.00,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5453014.00,5457013.00,0.00
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,342000.00,12000.00,34.63,242.00,Brazzaville,3094.95,118.53,0.05,XAF,NA,197.29,4.66,0.65,40.48,0.97,8722553000.84,1.04,0.09,0.03,0.03,38.50,Brazzaville,"Denis Sassou Nguesso (President), Clément Mouamba (Prime Minister)",64.63,NA,442.00,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5244359.00,5380508.00,0.03
Norway,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,385207.00,23950.00,11.20,47.00,Oslo,47627.00,114.55,0.04,NOK,NA,22999.93,1.72,0.33,58.47,1.78,398831956477.94,1.00,0.81,0.09,0.09,2.10,Oslo,"Harald V of Norway (King), Tone Wilhelmsen Trøen (President), Erna Solberg (Prime Minister)",82.51,287192200000.00,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5337962.00,5378857.00,0.01
Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,51100.00,9800.00,14.29,506.00,San Jose,7759.37,123.46,0.00,CRC,NA,1957.93,1.78,0.54,49.48,0.98,57057372468.04,1.10,0.54,0.10,0.10,7.70,San Jose,"Carlos Alvarado Quesada (President), Epsy Campbell Barr (Vice President), Marvin Rodríguez Cordero (Vice President)",79.83,1498420000.00,25.00,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4999441.00,5047561.00,0.01
Palestinian National Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6220.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,4015865744.00,NA,NA,NA,NA,NA,NA,Mahmoud Abbas (President),72.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4862979.00,4981420.00,0.02
Oman,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,0.05,309500.00,47000.00,18.73,968.00,Muscat,61169.23,112.39,0.01,OMR,NA,6553.52,2.67,0.00,100.00,0.45,72642652795.84,1.09,0.45,0.03,0.03,9.20,Muscat,Fahd bin Mahmoud al Said (Deputy prime minister),77.03,21298880000.00,17.00,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829473.00,4974986.00,0.03
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,111369.00,2050.00,34.32,231.00,Monrovia,935.09,180.58,0.09,NA,NA,NA,4.58,0.43,NA,0.80,2158000000.00,0.94,0.12,0.16,0.16,51.20,Monrovia,"George Weah (President), Jewel Taylor (Vice President)",62.51,NA,725.00,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818973.00,4937374.00,0.02
Ireland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,70273.00,9100.00,13.50,353.00,Dublin,34066.43,105.08,0.00,EUR,NA,5672.06,1.92,0.11,85.36,1.37,333730764773.18,1.01,0.84,0.08,0.08,3.00,Connacht,"Michael D. Higgins (President), Leo Varadkar (Prime Minister)",81.61,146554130000.00,8.00,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818690.00,4882495.00,0.01
