Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,20273.00,13200.00,9.90,386.00,Ljubljana,12812.50,107.40,0.00,EUR,NA,6728.00,1.57,0.62,60.87,1.32,48769655479.24,0.99,0.80,0.09,0.09,1.80,Ljubljana,"Borut Pahor (President), Marjan Sarec (Prime Minister)",80.78,6318340000.00,9.00,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077837.00,2078654.00,0.00
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,36125.00,4450.00,36.58,245.00,Bissau,271.36,111.65,0.02,XOF,NA,NA,4.63,0.70,0.00,NA,1346933490.24,1.18,0.03,0.06,0.06,57.80,Bissau,"José Mário Vaz (President), Aristides Gomes (Prime Minister)",57.40,NA,549.00,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874303.00,1920922.00,0.02
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30,64589.00,5310.00,11.20,371.00,Riga,6974.63,110.85,0.00,EUR,NA,3507.40,1.70,0.54,56.72,1.16,30264454641.80,0.98,0.68,0.06,0.06,3.90,Riga,"Arturs Krišj?nis Kari?š (Prime Minister), Egils Levits (President)",74.53,NA,18.00,2.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928459.00,1906743.00,?1.13%
Bahrain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,765.30,19460.00,14.76,973.00,Manama,31338.18,115.19,0.03,BHD,NA,19592.23,2.03,0.01,100.00,0.43,35307127659.57,1.01,0.47,0.04,0.04,6.50,Muharraq,"Abdullatif bin Rashid Al Zayani (Minister), Hamad bin Isa Al Khalifa (Monarch), Khalifa bin Salman Al Khalifa (Prime Minister)",76.90,21706180000.00,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1569446.00,1641172.00,0.05
Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,5128.00,4050.00,13.61,1.00,Port of Spain,46273.87,140.32,0.03,TTD,NA,7134.03,1.75,0.46,99.93,0.54,22104775828.46,1.06,0.12,0.05,0.05,16.50,Chaguanas,"Donna Cox (Minister), Keith Rowley (Prime Minister), Paula-Mae Weekes (President)",70.67,3889100000.00,63.00,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389843.00,1394973.00,0.00
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10,28051.00,1450.00,34.11,240.00,Malabo,5346.49,121.19,0.01,XAF,NA,NA,4.69,0.56,0.00,NA,12486753871.28,0.62,0.02,0.05,0.05,66.20,Malabo,"Fransisco Pascual Obama Asue (Prime Minister), Teodoro Obiang Nguema Mbasogo (President)",57.68,NA,342.00,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308975.00,1355986.00,0.04
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,45228.00,6400.00,10.70,372.00,Tallinn,19519.44,115.46,0.00,EUR,NA,6732.37,1.58,0.53,12.29,1.14,25921079612.33,0.97,0.72,0.06,0.06,2.30,Tallinn,"Kersti Kaljulaid (President), Margus Tsahkna (Minister), Mailis Reps (Minister)",77.74,NA,9.00,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1322920.00,1325648.00,0.00
Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,14874.00,1330.00,35.05,670.00,Dili,469.38,141.64,-0.01,USD,NA,NA,5.50,0.46,0.00,1.10,2954620999.58,1.09,0.19,0.04,0.04,42.40,Dili,"Francisco Guterres (President), Taur Matan Ruak (Prime Minister)",68.88,NA,215.00,0.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267974.00,1293119.00,0.02
Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,2040.00,2550.00,10.40,230.00,Port Louis,4228.05,125.36,0.01,MUR,NA,2182.51,1.40,0.19,84.54,1.12,13338147523.01,1.02,0.39,0.05,0.05,12.20,Port Louis,"Anerood Jugnauth (Prime Minister), Prithvirajsing Roopun (President)",74.39,9742920000.00,53.00,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189265.00,1198575.00,0.01
Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,9251.00,15750.00,10.83,357.00,Nicosia,6061.55,100.54,-0.01,EUR,NA,3624.90,1.34,0.19,92.91,1.23,21651791751.18,0.99,0.60,0.07,0.07,2.10,Limassol,Nicos Anastasiades (President),80.51,2822392823.26,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170125.00,1179551.00,0.01
Swaziland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,17364.00,3000.00,28.85,268.00,Mbabane,1202.78,155.13,0.08,NA,NA,NA,3.08,0.34,0.00,0.77,4408564260.16,1.08,0.05,0.09,0.09,52.40,Mbabane,"Mswati III (Monarch), Ambrose Mandvulo Dlamini (Prime Minister)",57.75,234260000.00,389.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136281.00,1148130.00,0.01
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,23200.00,13100.00,23.00,253.00,Djibouti,722.40,116.22,0.03,DJF,NA,NA,2.85,0.00,0.00,1.32,1844674434.50,0.64,0.05,0.09,0.09,53.50,Djibouti,"Ismaïl Omar Guelleh (President), Abdoulkader Kamil Mohamed (Prime Minister)",62.47,NA,229.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958923.00,973560.00,0.02
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,18274.00,3500.00,19.39,679.00,Suva,1169.77,124.90,0.04,FJD,NA,NA,2.52,0.56,0.00,0.82,5061202767.43,1.06,0.16,0.04,0.04,18.70,Suva,George Konrote (President),70.27,NA,30.00,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883483.00,889953.00,0.01
Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512.00,NA,NA,NA,Saint-Denis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint-Denis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882526.00,888927.00,0.01
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,2235.00,NA,32.86,269.00,Moroni,154.01,103.62,-0.08,KMF,NA,NA,4.35,0.20,0.00,NA,648920942.74,1.05,0.09,0.05,0.05,55.00,Moroni,Azali Assoumani (President),63.70,NA,335.00,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832322.00,850886.00,0.02
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,214970.00,3400.00,20.58,592.00,Georgetown,2009.52,110.27,0.01,GYD,NA,NA,2.51,0.84,0.00,0.90,3675631961.26,0.96,0.12,0.07,0.07,26.90,Georgetown,"Moses Nagamootoo (Prime Minister), David A. Granger (President)",66.65,NA,229.00,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779006.00,782766.00,0.00
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,38394.00,6000.00,18.17,975.00,Thimphu,1001.09,158.43,0.04,BTN,NA,NA,2.05,0.72,0.00,0.98,2511852941.18,0.95,0.11,0.04,0.04,26.80,Thimphu,"Jigme Khesar Namgyel Wangchuck (Monarch), Lotay Tshering (Prime Minister)",70.20,NA,148.00,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754388.00,763092.00,0.01
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,28400.00,NA,28.71,677.00,Honiara,201.69,126.54,-0.01,SBD,NA,NA,3.85,0.78,0.00,NA,1303453616.12,1.15,NA,0.08,0.08,21.80,Honiara,"Nestor Ghiro (Minister), Anthony Veke (Minister), Elizabeth II (Monarch)",70.73,NA,114.00,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652857.00,669823.00,0.03
Macau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.20,NA,12.15,853.00,NA,1283.45,134.45,0.02,NA,NA,NA,1.31,NA,NA,NA,50361201096.44,1.06,0.78,NA,NA,NA,NA,NA,83.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631636.00,640445.00,0.01
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,13812.00,12050.00,11.36,382.00,Podgorica,2211.20,113.36,0.00,EUR,NA,4612.34,1.67,0.61,64.67,1.16,4774086094.21,0.96,0.57,0.08,0.08,3.50,Podgorica,"Duško Markovi? (Prime Minister), Ivan Brajovi? (President), Milo ?ukanovi? (President)",77.12,3787240000.00,7.00,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627809.00,627987.00,0.00
Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,2586.40,1500.00,10.40,352.00,Luxembourg,9658.88,111.41,0.00,EUR,NA,13914.68,1.47,0.33,80.92,1.19,62404461274.66,0.99,0.20,0.07,0.07,2.00,Luxembourg,"Xavier Bettel (Prime Minister), Henri, Grand Duke of Luxembourg (Monarch), Etienne Schneider (Deputy prime minister), François Bausch (Deputy prime minister)",82.29,68639080000.00,10.00,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604245.00,615729.00,0.02
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567402.00,582463.00,0.03
Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,163820.00,1940.00,18.22,597.00,Paramaribo,1991.18,264.07,0.52,SRD,NA,3631.86,2.37,0.98,76.25,1.29,3324385325.27,1.21,0.13,0.06,0.06,17.80,Paramaribo,Ashwin Adhin (Vice President),71.41,NA,155.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575990.00,581372.00,0.01
Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20,4033.00,1200.00,20.90,238.00,Praia,491.38,107.93,-0.01,CVE,NA,NA,2.33,0.22,0.00,1.02,1753736711.67,0.97,0.22,0.04,0.04,18.20,Praia,"Ulisses Correia e Silva (Prime Minister), Jorge Carlos Fonseca (President)",72.80,NA,42.00,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543767.00,549935.00,0.01
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,298.00,5000.00,18.27,960.00,Malé,1334.79,136.31,0.01,MVR,NA,NA,2.09,0.03,0.00,1.63,4597083303.51,1.02,0.14,0.09,0.09,7.30,Malé,"Ibrahim Mohamed Solih (President), Faisal Naseem (Vice President)",77.34,NA,68.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515696.00,530953.00,0.03
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628.00,NA,NA,NA,Basse-Terre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Basse-Terre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446928.00,447905.00,0.00
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,316.00,2130.00,10.20,356.00,Valletta,2346.88,110.34,0.01,EUR,NA,4924.54,1.45,0.01,97.79,1.36,12537750732.48,1.05,0.49,0.09,0.09,5.90,Birkirkara,"Robert Abela (Prime Minister), Edward Zammit-Lewis (Minister), George Vella (President)",81.80,5171190000.00,9.00,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439248.00,440372.00,0.00
Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,5765.00,12100.00,15.87,673.00,Bandar Seri Begawan,9108.83,99.11,-0.01,BND,NA,10242.80,1.87,0.72,100.00,0.37,12128089001.59,1.07,0.31,0.02,0.02,8.50,Bandar Seri Begawan,Hassanal Bolkiah (Prime Minister),77.20,NA,23.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428963.00,433285.00,0.01
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,22966.00,1500.00,22.53,501.00,Belmopan,495.05,105.68,-0.01,BZD,NA,NA,2.51,0.60,0.00,1.13,1838000000.00,1.15,0.24,0.06,0.06,12.80,Belize City,"Colville Young (Governor-general), Elizabeth II (Monarch), Dean Barrow (Prime Minister)",70.38,NA,28.00,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383071.00,390353.00,0.02
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,13878.00,1300.00,14.27,1.00,Nassau,2416.55,110.88,0.00,NA,NA,NA,1.77,0.51,0.00,0.92,12162100000.00,0.95,0.15,0.08,0.08,8.60,Nassau,"Elizabeth II (Monarch), Hubert Minnis (Prime Minister), Iram Lewis (Minister)",75.68,NA,80.00,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385637.00,389482.00,0.01
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128.00,NA,NA,596.00,Fort-de-France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fort-de-France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375673.00,375554.00,?0.03%
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,103000.00,250.00,12.00,354.00,Reykjavik,1983.85,121.96,0.02,ISK,NA,53832.48,1.80,0.00,11.52,1.69,23909289978.59,0.99,0.76,0.09,0.09,1.60,Reykjavik,"Guðni Th. Jóhannesson (President), Katrín Jakobsdóttir (Prime Minister)",82.47,NA,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336713.00,339031.00,0.01
Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,12189.00,NA,25.86,678.00,Port Vila,154.01,108.05,0.01,VUV,NA,NA,3.28,0.36,0.00,1.31,862879789.39,1.20,0.05,0.04,0.04,23.10,Port Vila,"Charlot Salwai (Prime Minister), Tallis Obed Moses (President)",72.13,NA,78.00,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292680.00,299882.00,0.02
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,439.00,610.00,11.91,1.00,Bridgetown,1272.45,124.25,-0.01,BBD,NA,NA,1.80,0.15,0.00,1.81,4796845980.82,0.93,0.65,0.06,0.06,11.40,Bridgetown,"Elizabeth II (Monarch), Mia Mottley (Prime Minister)",75.91,4567520000.00,27.00,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286641.00,287025.00,0.00
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10,18575.00,NA,15.40,687.00,Nouméa,4290.39,NA,NA,NA,NA,NA,2.08,0.46,NA,NA,2682347064.36,NA,NA,NA,NA,NA,Nouméa,Philippe Germain (President),76.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279993.00,282750.00,0.01
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83534.00,NA,NA,NA,Cayenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayenne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275713.00,282731.00,0.03
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,4167.00,NA,15.38,689.00,Papeete,803.07,NA,NA,NA,NA,NA,2.01,0.42,NA,1.70,3447543137.94,NA,NA,NA,NA,NA,Papeete,"Édouard Fritch (President), Emmanuel Macron (President)",76.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277679.00,279287.00,0.01
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.00,NA,NA,262.00,Mamoudzou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mamoudzou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259531.00,266150.00,0.03
São Tomé and Príncipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,964.00,1000.00,33.83,239.00,São Tomé,113.68,171.58,0.05,STN,NA,NA,4.46,0.56,0.00,NA,390871568.63,1.10,0.13,0.08,0.08,26.20,São Tomé,"Evaristo Carvalho (President), Jorge Bom Jesus (Prime Minister), Patrice Trovoada (Prime Minister)",66.62,NA,156.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211028.00,215056.00,0.02
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,2842.00,NA,24.69,685.00,Apia,198.02,111.56,0.01,WST,NA,NA,3.98,0.60,0.00,0.91,856626506.02,1.08,0.08,0.07,0.07,14.80,Apia,Tuilaepa Aiono Sailele Malielegaoi (Prime Minister),75.01,NA,51.00,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196129.00,197097.00,0.00
Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,616.00,NA,12.11,1.00,Castries,407.04,108.04,-0.03,XCD,NA,NA,1.46,0.33,0.00,1.30,1712306555.56,1.01,0.19,0.08,0.08,11.80,Castries,"Allen Chastanet (Prime Minister), Elizabeth II (Monarch)",75.50,NA,48.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181889.00,182790.00,0.01
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.00,NA,NA,44.00,Saint Peter Port,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742000000.00,NA,NA,NA,NA,NA,Saint Peter Port,Ian Corder (Lieutenant Governor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170499.00,172259.00,0.01
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,544.00,NA,16.78,1.00,Hagåtña,NA,NA,NA,NA,NA,NA,2.35,0.46,NA,NA,5793000000.00,NA,NA,NA,NA,NA,Tamuning,NA,79.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165768.00,167294.00,0.01
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.00,NA,11.20,599.00,Willemstad,5881.87,108.08,NA,NA,NA,4797.67,1.70,NA,99.86,NA,NA,1.73,0.21,NA,NA,NA,Willemstad,"Willem-Alexander of the Netherlands (Monarch), Lucille George-Wout (Governor)",77.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162752.00,163424.00,0.00
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,811.00,NA,28.22,686.00,South Tarawa,62.34,99.55,NA,AUD,NA,NA,3.65,0.15,0.00,NA,196150061.31,1.05,NA,0.11,0.11,42.40,South Tarawa,"Taneti Maamau (President), Teuea Toatu (Vice President)",66.32,NA,90.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115847.00,117606.00,0.02
Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,702.00,NA,23.71,691.00,Palikir,150.35,112.55,NA,USD,NA,NA,3.15,0.92,NA,NA,336427532.88,0.96,0.14,0.13,0.13,27.50,Palikir,"David W. Panuelo (President), Yosiwo George (Vice President)",69.20,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112640.00,113815.00,0.01
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,348.50,NA,18.68,1.00,St. George's,242.02,106.57,0.02,XCD,NA,NA,2.10,0.50,0.00,1.12,1118816679.41,1.01,0.91,0.06,0.06,14.40,St. George's,"Keith Mitchell (Prime Minister), Elizabeth II (Monarch), Cécile La Grenade (Governor-general)",73.66,NA,27.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111454.00,112003.00,0.00
Tonga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,747.00,NA,23.98,676.00,Nuku?alofa,121.01,112.71,0.03,TOP,NA,NA,3.64,0.13,0.00,NA,426057453.06,1.08,0.06,0.05,0.05,14.10,Nuku?alofa,"Tupou VI (Monarch), Pohiva Tu?i?onetoa (Prime Minister)",73.03,NA,124.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110589.00,110940.00,0.00
Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,389.00,NA,15.51,1.00,Kingstown,209.02,107.17,0.00,XCD,NA,NA,1.93,0.69,0.00,NA,789629629.63,1.03,0.06,0.05,0.05,15.20,Kingstown,"Elizabeth II (Monarch), Ralph Gonsalves (Prime Minister)",73.18,NA,45.00,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110211.00,110589.00,0.00
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,180.00,NA,10.97,297.00,Oranjestad,872.75,101.99,-0.01,NA,NA,NA,1.80,0.02,NA,NA,2584463687.15,1.17,0.15,NA,NA,NA,Oranjestad,Alfonso Boekhoudt (Governor),75.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105845.00,106314.00,0.00
United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.36,NA,NA,340.00,Charlotte Amalie,NA,NA,NA,NA,NA,NA,1.80,NA,NA,NA,1996000000.00,NA,NA,NA,NA,NA,Charlotte Amalie,Kenneth Mapp (Governor),79.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104680.00,104578.00,?0.10%
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,459.00,840.00,17.40,248.00,Victoria,495.05,123.09,-0.01,SCR,NA,NA,2.78,0.88,0.00,NA,1485994387.50,1.13,0.21,0.05,0.05,12.30,Victoria,"Danny Faure (President), Vincent Meriton (Vice President), Jean-Paul Adam (Minister)",74.31,NA,NA,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97096.00,97739.00,0.01
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20,442.60,180.00,16.23,1.00,St. John's,531.72,112.45,0.00,XCD,NA,NA,2.05,0.22,0.00,0.99,1532397555.56,0.88,0.22,0.05,0.05,5.10,St. John's,"Rodney Williams (Governor-general), Samantha Marshall (Minister), Elizabeth II (Monarch), Gaston Browne (Prime Minister)",76.36,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96286.00,97118.00,0.01
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,572.00,NA,11.40,44.00,Douglas,NA,NA,NA,NA,NA,NA,1.65,0.06,NA,NA,6792417112.30,NA,NA,NA,NA,NA,Douglas,"Richard Gozney (Lieutenant Governor), Howard Quayle (Chief Minister)",77.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84077.00,84584.00,0.01
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40,468.00,NA,8.80,376.00,Andorra la Vella,462.04,NA,NA,EUR,NA,NA,1.27,0.34,NA,1.51,3012914131.17,1.14,NA,0.08,0.08,2.40,Andorra la Vella,"Patrick Strzoda (Governor-general), Xavier Espot Zamora (Prime Minister)",NA,NA,NA,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77006.00,77142.00,0.00
