Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,199951,20400,26,996,9607.54,151.59,0,KGS,NA,1941.22,3.1,0.03,69.3,0.56,7564738836,1.06,0.46,0.07,0.07,18.8,70.95,NA,76,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6304030,6415850,0.02
Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,491210,41500,25.37,993,68422.55,NA,NA,TMT,NA,2678.81,2.89,0.09,NA,0.29,42355428571,0.88,0.08,0.02,0.02,43.4,67.84,NA,42,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5850901,5942089,0.02
Singapore,0,0,0,0,0,0,0,0,0,0,0.01,719.1,147600,9.4,65,56372.79,113.27,-0.01,SGD,NA,8844.69,1.2,0.23,97.52,1.25,3.24E+11,1.01,0.06,0.05,0.05,2.2,82.8,7.87E+11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5757499,5804337,0.01
Denmark,75,75,75,75,75,75,75,75,75,75,0.62,43094,16100,10.8,45,33498.05,108.63,0,DKK,NA,5858.8,1.71,0.15,65.73,1.55,3.25E+11,1.02,0.81,0.11,0.11,3.7,80.7,1.51E+11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5752126,5771876,0
Finland,0,0,0,0,0,0,0,0,0,0,0.07,338145,24200,9.6,358,47300.63,110,0,EUR,NA,15249.99,1.65,0.73,39.69,1.45,2.52E+11,1,0.87,0.09,0.09,1.9,81.78,1.84E+11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5522576,5532156,0
Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,49035,15850,10.6,421,30678.12,109.59,-0.01,EUR,NA,5137.07,1.4,0.4,64.64,1.32,95769031980,0.99,0.53,0.08,0.08,4.9,76.56,4801320000,6,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5453014,5457013,0
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,342000,12000,34.63,242,3094.95,118.53,0.05,XAF,NA,197.29,4.66,0.65,40.48,0.97,8722553001,1.04,0.09,0.03,0.03,38.5,64.63,NA,442,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5244359,5380508,0.03
Norway,0,0,0,0,0,0,0,0,0,0,0.03,385207,23950,11.2,47,47627,114.55,0.04,NOK,NA,22999.93,1.72,0.33,58.47,1.78,3.99E+11,1,0.81,0.09,0.09,2.1,82.51,2.87E+11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5337962,5378857,0.01
Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,51100,9800,14.29,506,7759.37,123.46,0,CRC,NA,1957.93,1.78,0.54,49.48,0.98,57057372468,1.1,0.54,0.1,0.1,7.7,79.83,1498420000,25,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4999441,5047561,0.01
Palestinian National Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6220,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,4015865744,NA,NA,NA,NA,NA,72.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4862979,4981420,0.02
Oman,6,6,6,6,6,6,6,6,6,6,0.05,309500,47000,18.73,968,61169.23,112.39,0.01,OMR,NA,6553.52,2.67,0,100,0.45,72642652796,1.09,0.45,0.03,0.03,9.2,77.03,21298880000,17,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829473,4974986,0.03
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,111369,2050,34.32,231,935.09,180.58,0.09,NA,NA,NA,4.58,0.43,NA,0.8,2158000000,0.94,0.12,0.16,0.16,51.2,62.51,NA,725,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818973,4937374,0.02
Ireland,0,0,0,0,0,0,0,0,0,0,0.64,70273,9100,13.5,353,34066.43,105.08,0,EUR,NA,5672.06,1.92,0.11,85.36,1.37,3.34E+11,1.01,0.84,0.08,0.08,3,81.61,1.47E+11,8,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818690,4882495,0.01
